group,variable,value
5- iPhone XR 64Go,iPhone SE 2020 64Go,0
5- iPhone XR 64Go,Galaxy Note 10 Lite,0
5- iPhone XR 64Go,Galaxy Note20,0
5- iPhone XR 64Go,Galaxy Note20 5G,0
5- iPhone XR 64Go,Galaxy Note20 Ultra 5G,0
5- iPhone XR 64Go,Galaxy S10 128Go,0
5- iPhone XR 64Go,Galaxy S20,0
5- iPhone XR 64Go,Galaxy S20 5G,0
5- iPhone XR 64Go,Galaxy S20 FE,0
5- iPhone XR 64Go,Galaxy S20 FE 5G,0
5- iPhone XR 64Go,Galaxy S20 Ultra 5G,0
5- iPhone XR 64Go,Galaxy S20+,0
5- iPhone XR 64Go,Mi 10,0
5- iPhone XR 64Go,MI 10 LITE,0
5- iPhone XR 64Go,Mi 10T,0
5- iPhone XR 64Go,Mi 10T Lite,0
5- iPhone XR 64Go,MI 10T PRO,0
5- iPhone XR 64Go,P30 Pro 128Go,0
5- iPhone XR 64Go,P40 PRO,0
6- Galaxy S9+,iPhone 11 64Go,0
6- Galaxy S9+,iPhone 11 Pro 64Go,0
6- Galaxy S9+,iPhone 11 Pro Max 64Go,0
6- Galaxy S9+,iPhone 12 128Go,0
6- Galaxy S9+,iPhone 12 64Go,0.002
6- Galaxy S9+,iPhone 12 mini 128Go,0
6- Galaxy S9+,iPhone 12 mini 64Go,0.002
6- Galaxy S9+,iPhone 12 Pro 128Go,0
6- Galaxy S9+,iPhone 12 Pro Max 128Go,0
6- Galaxy S9+,iPhone SE 2020 64Go,0
6- Galaxy S9+,Galaxy Note 10 Lite,0
6- Galaxy S9+,Galaxy Note20,0.002
6- Galaxy S9+,Galaxy Note20 5G,0
6- Galaxy S9+,Galaxy Note20 Ultra 5G,0.005
6- Galaxy S9+,Galaxy S10 128Go,0
6- Galaxy S9+,Galaxy S20,0
6- Galaxy S9+,Galaxy S20 5G,0
6- Galaxy S9+,Galaxy S20 FE,0.014
6- Galaxy S9+,Galaxy S20 FE 5G,0.005
6- Galaxy S9+,Galaxy S20 Ultra 5G,0
6- Galaxy S9+,Galaxy S20+,0.009
6- Galaxy S9+,Mi 10,0
6- Galaxy S9+,MI 10 LITE,0
6- Galaxy S9+,Mi 10T,0
6- Galaxy S9+,Mi 10T Lite,0
6- Galaxy S9+,MI 10T PRO,0
6- Galaxy S9+,P30 Pro 128Go,0
6- Galaxy S9+,P40 PRO,0
7- iPhone X 64Go,iPhone 11 64Go,0
7- iPhone X 64Go,iPhone 11 Pro 64Go,0.005
7- iPhone X 64Go,iPhone 11 Pro Max 64Go,0
7- iPhone X 64Go,iPhone 12 128Go,0.005
7- iPhone X 64Go,iPhone 12 64Go,0.016
7- iPhone X 64Go,iPhone 12 mini 128Go,0
7- iPhone X 64Go,iPhone 12 mini 64Go,0.007
7- iPhone X 64Go,iPhone 12 Pro 128Go,0.005
7- iPhone X 64Go,iPhone 12 Pro Max 128Go,0
7- iPhone X 64Go,iPhone SE 2020 64Go,0
7- iPhone X 64Go,Galaxy Note 10 Lite,0
7- iPhone X 64Go,Galaxy Note20,0.002
7- iPhone X 64Go,Galaxy Note20 5G,0
7- iPhone X 64Go,Galaxy Note20 Ultra 5G,0
7- iPhone X 64Go,Galaxy S10 128Go,0
7- iPhone X 64Go,Galaxy S20,0
7- iPhone X 64Go,Galaxy S20 5G,0
7- iPhone X 64Go,Galaxy S20 FE,0
7- iPhone X 64Go,Galaxy S20 FE 5G,0
7- iPhone X 64Go,Galaxy S20 Ultra 5G,0
7- iPhone X 64Go,Galaxy S20+,0
7- iPhone X 64Go,Mi 10,0
7- iPhone X 64Go,MI 10 LITE,0
7- iPhone X 64Go,Mi 10T,0
7- iPhone X 64Go,Mi 10T Lite,0
7- iPhone X 64Go,MI 10T PRO,0
7- iPhone X 64Go,P30 Pro 128Go,0
7- iPhone X 64Go,P40 PRO,0
8- iPhone 8 Plus 64Go,iPhone 11 64Go,0
8- iPhone 8 Plus 64Go,iPhone 11 Pro 64Go,0.002
8- iPhone 8 Plus 64Go,iPhone 11 Pro Max 64Go,0.005
8- iPhone 8 Plus 64Go,iPhone 12 128Go,0.002
8- iPhone 8 Plus 64Go,iPhone 12 64Go,0.016
8- iPhone 8 Plus 64Go,iPhone 12 mini 128Go,0
8- iPhone 8 Plus 64Go,iPhone 12 mini 64Go,0
8- iPhone 8 Plus 64Go,iPhone 12 Pro 128Go,0
8- iPhone 8 Plus 64Go,iPhone 12 Pro Max 128Go,0
8- iPhone 8 Plus 64Go,iPhone SE 2020 64Go,0
8- iPhone 8 Plus 64Go,Galaxy Note 10 Lite,0
8- iPhone 8 Plus 64Go,Galaxy Note20,0
8- iPhone 8 Plus 64Go,Galaxy Note20 5G,0
8- iPhone 8 Plus 64Go,Galaxy Note20 Ultra 5G,0
8- iPhone 8 Plus 64Go,Galaxy S10 128Go,0
8- iPhone 8 Plus 64Go,Galaxy S20,0
8- iPhone 8 Plus 64Go,Galaxy S20 5G,0
8- iPhone 8 Plus 64Go,Galaxy S20 FE,0
8- iPhone 8 Plus 64Go,Galaxy S20 FE 5G,0
8- iPhone 8 Plus 64Go,Galaxy S20 Ultra 5G,0
8- iPhone 8 Plus 64Go,Galaxy S20+,0
8- iPhone 8 Plus 64Go,Mi 10,0
8- iPhone 8 Plus 64Go,MI 10 LITE,0
8- iPhone 8 Plus 64Go,Mi 10T,0
8- iPhone 8 Plus 64Go,Mi 10T Lite,0
8- iPhone 8 Plus 64Go,MI 10T PRO,0
8- iPhone 8 Plus 64Go,P30 Pro 128Go,0
8- iPhone 8 Plus 64Go,P40 PRO,0
9- iPhone Xs 64Go,iPhone 11 64Go,0.002
9- iPhone Xs 64Go,iPhone 11 Pro 64Go,0
9- iPhone Xs 64Go,iPhone 11 Pro Max 64Go,0.005
9- iPhone Xs 64Go,iPhone 12 128Go,0
9- iPhone Xs 64Go,iPhone 12 64Go,0.018
9- iPhone Xs 64Go,iPhone 12 mini 128Go,0
9- iPhone Xs 64Go,iPhone 12 mini 64Go,0.002
9- iPhone Xs 64Go,iPhone 12 Pro 128Go,0
9- iPhone Xs 64Go,iPhone 12 Pro Max 128Go,0
9- iPhone Xs 64Go,Galaxy Note 10 Lite,0
9- iPhone Xs 64Go,Galaxy Note20,0
9- iPhone Xs 64Go,Galaxy Note20 5G,0
9- iPhone Xs 64Go,Galaxy Note20 Ultra 5G,0
9- iPhone Xs 64Go,Galaxy S10 128Go,0
9- iPhone Xs 64Go,Galaxy S20,0
9- iPhone Xs 64Go,Galaxy S20 5G,0
9- iPhone Xs 64Go,Galaxy S20 FE,0
9- iPhone Xs 64Go,Galaxy S20 FE 5G,0
9- iPhone Xs 64Go,Galaxy S20 Ultra 5G,0
9- iPhone Xs 64Go,Galaxy S20+,0
9- iPhone Xs 64Go,iPhone SE 2020 64Go,0
9- iPhone Xs 64Go,Mi 10,0
9- iPhone Xs 64Go,MI 10 LITE,0
9- iPhone Xs 64Go,Mi 10T,0
9- iPhone Xs 64Go,Mi 10T Lite,0
9- iPhone Xs 64Go,MI 10T PRO,0
9- iPhone Xs 64Go,P30 Pro 128Go,0
9- iPhone Xs 64Go,P40 PRO,0
10- Mate20 Pro,iPhone 11 64Go,0
10- Mate20 Pro,iPhone 11 Pro 64Go,0
10- Mate20 Pro,iPhone 11 Pro Max 64Go,0.002
10- Mate20 Pro,iPhone 12 128Go,0
10- Mate20 Pro,iPhone 12 64Go,0.002
