target,source,value
Galaxy S8,Galaxy S10 128Go,213
Galaxy S8,iPhone 12 Pro Max 128Go,184
Galaxy S8,Galaxy Note20 5G,17
Galaxy S8,Mi 10T,156
Galaxy S8,P30 Pro 128Go,142
Galaxy S8,Mi 10,142
Galaxy S8,iPhone 12 128Go,113
Galaxy S8,MI 10T PRO,113
Galaxy S8,Galaxy Note20 Ultra 5G,113
Galaxy S8,Mi 10T Lite,71
Galaxy S8,FIND X2 NEO,57
Galaxy S8,iPhone SE 2020 64Go,57
Galaxy S8,Galaxy Note 10 Lite,57
Galaxy S8,iPhone 11 128Go,43
Galaxy S8,Galaxy A42 5G,43
Galaxy S8,MI 10 LITE,28
Galaxy S8,iPhone 11 Pro 64Go,28
Galaxy S8,iPhone 12 Pro 128Go,28
Galaxy S8,iPhone 12 mini 64Go,28
Galaxy S8,P30,28
Galaxy S8,P40 PRO,28
Galaxy S8,Reno 4Z,14
Galaxy S8,CORE-X4,14
Galaxy S8,Mi Note 10,14
Galaxy S8,iPhone 12 mini 128Go,14
Galaxy S8,Galaxy Z Fold 2,14
Galaxy S8,iPhone 12 Pro Max 256Go,14
Galaxy S8,Xperia 5 II,14
Galaxy S8,Galaxy S20 Ultra 5G,14
Galaxy S8,A72,14
Galaxy S8,TREKKER-X4,14
Galaxy S8,iPhone XR 64Go,14
Galaxy S8,Galaxy S20+ 5G,14
iPhone X 64Go,iPhone 12 64Go,5404
iPhone X 64Go,iPhone 12 Pro Max 128Go,1532
iPhone X 64Go,iPhone 12 128Go,932
iPhone X 64Go,iPhone 11 64Go,807
iPhone X 64Go,iPhone 12 mini 64Go,311
iPhone X 64Go,iPhone 11 Pro 64Go,248
iPhone X 64Go,iPhone 11 128Go,145
iPhone X 64Go,iPhone 12 mini 128Go,145
iPhone X 64Go,iPhone 11 Pro Max 64Go,104
iPhone X 64Go,Galaxy Note20,41
iPhone X 64Go,Galaxy Note20 5G,41
iPhone X 64Go,Galaxy S20 FE,41
iPhone X 64Go,iPhone 12 Pro Max 256Go,21
iPhone X 64Go,Galaxy Note20 Ultra 5G,21
iPhone X 64Go,Mi 10T Lite,21
iPhone X 64Go,iPhone 12 Pro Max 512Go,21
iPhone X 64Go,iPhone 12 Pro 128Go,21
iPhone X 64Go,Galaxy S20+,21
iPhone X 64Go,MI 10T PRO,21
iPhone X 64Go,Mi 10T,21
iPhone X 64Go,Galaxy S20,21
iPhone X 64Go,Galaxy S20 FE 5G,21
iPhone X 64Go,Galaxy S20 5G,21
iPhone X 64Go,iPhone 11 Pro Max 256Go,21
iPhone 8 Plus 64Go,iPhone 12 64Go,42
iPhone 8 Plus 64Go,iPhone 11 64Go,181
iPhone 8 Plus 64Go,iPhone 12 Pro Max 128Go,1485
iPhone 8 Plus 64Go,iPhone 12 128Go,742
iPhone 8 Plus 64Go,iPhone 11 Pro Max 64Go,325
iPhone 8 Plus 64Go,iPhone 11 Pro 64Go,255
iPhone 8 Plus 64Go,iPhone 11 128Go,232
iPhone 8 Plus 64Go,Galaxy Note20,116
iPhone 8 Plus 64Go,iPhone 12 mini 128Go,93
iPhone 8 Plus 64Go,iPhone 12 mini 64Go,93
iPhone 8 Plus 64Go,iPhone XR 64Go,93
iPhone 8 Plus 64Go,Galaxy Note20 5G,7
iPhone 8 Plus 64Go,Mi 10T,7
iPhone 8 Plus 64Go,iPhone 12 Pro Max 256Go,46
iPhone 8 Plus 64Go,Mi 10,46
iPhone 8 Plus 64Go,Galaxy S20 FE,46
iPhone 8 Plus 64Go,MI 10T PRO,46
iPhone 8 Plus 64Go,iPhone 12 Pro 128Go,46
iPhone 8 Plus 64Go,Galaxy Z Fold 2,46
iPhone 8 Plus 64Go,Galaxy S20+,23
iPhone 8 Plus 64Go,Galaxy S20 5G,23
iPhone 8 Plus 64Go,iPhone SE 2020 64Go,23
iPhone 8 Plus 64Go,iPhone 11 Pro 256Go,23
iPhone 8 Plus 64Go,FIND X2 NEO,23
iPhone 8 Plus 64Go,iPhone 11 Pro Max 256Go,23
Galaxy S9+,Galaxy S20 FE,2718
Galaxy S9+,Galaxy S20+,1282
Galaxy S9+,Galaxy Note20,846
Galaxy S9+,Galaxy S20,718
Galaxy S9+,Galaxy S20 FE 5G,538
Galaxy S9+,iPhone 12 64Go,487
Galaxy S9+,Galaxy Note20 5G,462
Galaxy S9+,Galaxy Note20 Ultra 5G,385
Galaxy S9+,Galaxy S20 5G,385
Galaxy S9+,iPhone 11 64Go,308
Galaxy S9+,Mi 10,282
Galaxy S9+,iPhone 12 Pro Max 128Go,231
Galaxy S9+,MI 10T PRO,154
Galaxy S9+,iPhone 12 128Go,154
