group,variable,value
3- iPhone 8 64Go,Galaxy Note20,0.1
3- iPhone 8 64Go,Galaxy Note20 5G,0.29
3- iPhone 8 64Go,Galaxy Note20 Ultra 5G,0.19
3- iPhone 8 64Go,Galaxy S10 128Go,0
3- iPhone 8 64Go,Galaxy S10+ 128Go,0
3- iPhone 8 64Go,Galaxy S20,0.29
3- iPhone 8 64Go,Galaxy S20 5G,0.1
3- iPhone 8 64Go,Galaxy S20 FE,0.78
3- iPhone 8 64Go,Galaxy S20 FE 5G,0.1
3- iPhone 8 64Go,Galaxy S20 Ultra 5G,0
3- iPhone 8 64Go,Galaxy S20+,0.19
3- iPhone 8 64Go,Galaxy S20+ 5G,0
3- iPhone 8 64Go,Galaxy Z Flip,0
3- iPhone 8 64Go,iPhone 11 128Go,2.91
3- iPhone 8 64Go,iPhone 11 256Go,0
3- iPhone 8 64Go,iPhone 11 64Go,29
3- iPhone 8 64Go,iPhone 11 Pro 256Go,0.19
3- iPhone 8 64Go,iPhone 11 Pro 64Go,3.2
3- iPhone 8 64Go,iPhone 11 Pro Max 256Go,0.1
3- iPhone 8 64Go,iPhone 11 Pro Max 64Go,0.58
3- iPhone 8 64Go,iPhone 12 128Go,5.04
3- iPhone 8 64Go,iPhone 12 64Go,38.99
3- iPhone 8 64Go,iPhone 12 mini 128Go,1.84
3- iPhone 8 64Go,iPhone 12 mini 64Go,7.18
3- iPhone 8 64Go,iPhone 12 Pro 128Go,0.97
3- iPhone 8 64Go,iPhone 12 Pro Max 128Go,3.88
3- iPhone 8 64Go,iPhone 12 Pro Max 256Go,0.1
3- iPhone 8 64Go,iPhone 12 Pro Max 512Go,0.19
3- iPhone 8 64Go,iPhone 7 32Go,0
3- iPhone 8 64Go,iPhone SE 2020 128Go,0.29
3- iPhone 8 64Go,iPhone SE 2020 256Go,0
3- iPhone 8 64Go,iPhone SE 2020 64Go,1.84
3- iPhone 8 64Go,iPhone XR 128Go,0.1
3- iPhone 8 64Go,iPhone XR 64Go,0.48
3- iPhone 8 64Go,Mi 10,0.1
3- iPhone 8 64Go,MI 10 LITE,0
3- iPhone 8 64Go,Mi 10T,0.19
3- iPhone 8 64Go,Mi 10T Lite,0.1
3- iPhone 8 64Go,MI 10T PRO,0.19
3- iPhone 8 64Go,Mi Note 10,0
3- iPhone 8 64Go,nova 5t,0
3- iPhone 8 64Go,P30,0
3- iPhone 8 64Go,P30 Pro 128Go,0.1
3- iPhone 8 64Go,P40,0
3- iPhone 8 64Go,P40 PRO,0.1
3- iPhone 8 64Go,Reno 4Z,0.1
3- iPhone 8 64Go,S43,0
3- iPhone 8 64Go,TREKKER-X4,0.1
3- iPhone 8 64Go,Xperia 5 II,0
3- iPhone 8 64Go,Galaxy Z Fold 2,0
3- iPhone 8 64Go,iPhone 12 mini 256Go,0
3- iPhone 8 64Go,iPhone 12 Pro 256Go,0
3- iPhone 8 64Go,A53s,0
4- iPhone 7 32Go,A72,0.1
4- iPhone 7 32Go,CORE-X4,0
4- iPhone 7 32Go,FIND X2 NEO,0.1
4- iPhone 7 32Go,Galaxy A42 5G,0.1
4- iPhone 7 32Go,Galaxy A80,0.1
4- iPhone 7 32Go,Galaxy Note 10 Lite,0
4- iPhone 7 32Go,Galaxy Note20,0.52
4- iPhone 7 32Go,Galaxy Note20 5G,0
4- iPhone 7 32Go,Galaxy Note20 Ultra 5G,0.52
4- iPhone 7 32Go,Galaxy S10 128Go,0.1
4- iPhone 7 32Go,Galaxy S10+ 128Go,0
4- iPhone 7 32Go,Galaxy S20,0.52
4- iPhone 7 32Go,Galaxy S20 5G,0.31
4- iPhone 7 32Go,Galaxy S20 FE,0.73
4- iPhone 7 32Go,Galaxy S20 FE 5G,0.21
4- iPhone 7 32Go,Galaxy S20 Ultra 5G,0
4- iPhone 7 32Go,Galaxy S20+,0.1
4- iPhone 7 32Go,Galaxy S20+ 5G,0
4- iPhone 7 32Go,Galaxy Z Flip,0
4- iPhone 7 32Go,iPhone 11 128Go,4.37
4- iPhone 7 32Go,iPhone 11 256Go,0
4- iPhone 7 32Go,iPhone 11 64Go,34.55
4- iPhone 7 32Go,iPhone 11 Pro 256Go,0.1
4- iPhone 7 32Go,iPhone 11 Pro 64Go,1.98
4- iPhone 7 32Go,iPhone 11 Pro Max 256Go,0
4- iPhone 7 32Go,iPhone 11 Pro Max 64Go,0.42
4- iPhone 7 32Go,iPhone 12 128Go,3.12
4- iPhone 7 32Go,iPhone 12 64Go,28.93
4- iPhone 7 32Go,iPhone 12 mini 128Go,1.56
4- iPhone 7 32Go,iPhone 12 mini 64Go,8.01
4- iPhone 7 32Go,iPhone 12 Pro 128Go,0.52
4- iPhone 7 32Go,iPhone 12 Pro Max 128Go,2.81
4- iPhone 7 32Go,iPhone 12 Pro Max 256Go,0
4- iPhone 7 32Go,iPhone 12 Pro Max 512Go,0
4- iPhone 7 32Go,iPhone 7 32Go,0.1
4- iPhone 7 32Go,iPhone SE 2020 128Go,0
4- iPhone 7 32Go,iPhone SE 2020 256Go,0
4- iPhone 7 32Go,iPhone SE 2020 64Go,5.52
4- iPhone 7 32Go,iPhone XR 128Go,0.21
4- iPhone 7 32Go,iPhone XR 64Go,2.39
4- iPhone 7 32Go,Mi 10,0.62
4- iPhone 7 32Go,MI 10 LITE,0
4- iPhone 7 32Go,Mi 10T,0.21
4- iPhone 7 32Go,Mi 10T Lite,0.31
4- iPhone 7 32Go,MI 10T PRO,0.21
4- iPhone 7 32Go,Mi Note 10,0
4- iPhone 7 32Go,nova 5t,0.1
4- iPhone 7 32Go,P30,0
4- iPhone 7 32Go,P30 Pro 128Go,0.21
4- iPhone 7 32Go,P40,0
4- iPhone 7 32Go,P40 PRO,0.1
4- iPhone 7 32Go,Reno 4Z,0.1
4- iPhone 7 32Go,S43,0
4- iPhone 7 32Go,TREKKER-X4,0
4- iPhone 7 32Go,Xperia 5 II,0
4- iPhone 7 32Go,Galaxy Z Fold 2,0
4- iPhone 7 32Go,iPhone 12 mini 256Go,0
4- iPhone 7 32Go,iPhone 12 Pro 256Go,0.1
4- iPhone 7 32Go,A53s,0
5- Galaxy S8,A72,0.25
5- Galaxy S9,CORE-X4,0.13
5- Galaxy S10,FIND X2 NEO,0.76
5- Galaxy S11,Galaxy A42 5G,0.38
5- Galaxy S12,Galaxy A80,0
5- Galaxy S13,Galaxy Note 10 Lite,0.51
5- Galaxy S14,Galaxy Note20,2.92
5- Galaxy S15,Galaxy Note20 5G,1.9
5- Galaxy S16,Galaxy Note20 Ultra 5G,1.27
5- Galaxy S17,Galaxy S10 128Go,2.15
5- Galaxy S18,Galaxy S10+ 128Go,0
5- Galaxy S19,Galaxy S20,13.43
5- Galaxy S20,Galaxy S20 5G,6.59
5- Galaxy S21,Galaxy S20 FE,37.01
5- Galaxy S22,Galaxy S20 FE 5G,7.22
5- Galaxy S23,Galaxy S20 Ultra 5G,0.13
5- Galaxy S24,Galaxy S20+,3.04
5- Galaxy S25,Galaxy S20+ 5G,0.13
5- Galaxy S26,Galaxy Z Flip,0
5- Galaxy S27,iPhone 11 128Go,0.38
5- Galaxy S28,iPhone 11 256Go,0
5- Galaxy S29,iPhone 11 64Go,4.69
5- Galaxy S30,iPhone 11 Pro 256Go,0
5- Galaxy S31,iPhone 11 Pro 64Go,0.38
5- Galaxy S32,iPhone 11 Pro Max 256Go,0
5- Galaxy S33,iPhone 11 Pro Max 64Go,0
5- Galaxy S34,iPhone 12 128Go,1.01
5- Galaxy S35,iPhone 12 64Go,4.69
5- Galaxy S36,iPhone 12 mini 128Go,0.13
5- Galaxy S37,iPhone 12 mini 64Go,0.38
5- Galaxy S38,iPhone 12 Pro 128Go,0.38
5- Galaxy S39,iPhone 12 Pro Max 128Go,1.65
5- Galaxy S40,iPhone 12 Pro Max 256Go,0.13
5- Galaxy S41,iPhone 12 Pro Max 512Go,0
5- Galaxy S42,iPhone 7 32Go,0
5- Galaxy S43,iPhone SE 2020 128Go,0
5- Galaxy S44,iPhone SE 2020 256Go,0
5- Galaxy S45,iPhone SE 2020 64Go,0.51
5- Galaxy S46,iPhone XR 128Go,0
5- Galaxy S47,iPhone XR 64Go,0.13
5- Galaxy S48,Mi 10,1.39
5- Galaxy S49,MI 10 LITE,0.25
5- Galaxy S50,Mi 10T,1.52
5- Galaxy S51,Mi 10T Lite,0.63
5- Galaxy S52,MI 10T PRO,1.14
5- Galaxy S53,Mi Note 10,0.13
5- Galaxy S54,nova 5t,0
5- Galaxy S55,P30,0.25
5- Galaxy S56,P30 Pro 128Go,1.65
5- Galaxy S57,P40,0
5- Galaxy S58,P40 PRO,0.25
5- Galaxy S59,Reno 4Z,0.13
5- Galaxy S60,S43,0
5- Galaxy S61,TREKKER-X4,0.13
5- Galaxy S62,Xperia 5 II,0.13
5- Galaxy S63,Galaxy Z Fold 2,0.13
5- Galaxy S64,iPhone 12 mini 256Go,0
5- Galaxy S65,iPhone 12 Pro 256Go,0
5- Galaxy S66,A53s,0
