Repris;Racheté;Poids
iPhone 7 32Go;A72;0,12
iPhone 7 32Go;Reno 4Z;0,12
iPhone 7 32Go;P40 PRO;0,12
iPhone 7 32Go;FIND X2 NEO;0,12
Galaxy S8;Galaxy S20 FE;35,46
Galaxy S8;Galaxy S20;14,61
Galaxy S8;Galaxy S20 FE 5G;7,52
Galaxy S8;Galaxy S20 5G;6,95
Galaxy S8;iPhone 11 64Go;4,82
Galaxy S8;iPhone 12 64Go;4,82
Galaxy S8;Galaxy Note20;2,98
Galaxy S8;Galaxy S20+;2,7
Galaxy S8;Galaxy S10 128Go;2,13
Galaxy S8;iPhone 12 Pro Max 128Go;1,84
Galaxy S8;Galaxy Note20 5G;1,7
Galaxy S8;Mi 10T;1,56
Galaxy S8;P30 Pro 128Go;1,42
Galaxy S8;Mi 10;1,42
Galaxy S8;iPhone 12 128Go;1,13
Galaxy S8;MI 10T PRO;1,13
Galaxy S8;Galaxy Note20 Ultra 5G;1,13
Galaxy S8;Mi 10T Lite;0,71
Galaxy S8;FIND X2 NEO;0,57
Galaxy S8;iPhone SE 2020 64Go;0,57
Galaxy S8;Galaxy Note 10 Lite;0,57
Galaxy S8;iPhone 11 128Go;0,43
Galaxy S8;Galaxy A42 5G;0,43
Galaxy S8;MI 10 LITE;0,28
Galaxy S8;iPhone 11 Pro 64Go;0,28
Galaxy S8;iPhone 12 Pro 128Go;0,28
Galaxy S8;iPhone 12 mini 64Go;0,28
Galaxy S8;P30;0,28
Galaxy S8;P40 PRO;0,28
Galaxy S8;Reno 4Z;0,14
Galaxy S8;CORE-X4;0,14
Galaxy S8;Mi Note 10;0,14
Galaxy S8;iPhone 12 mini 128Go;0,14
Galaxy S8;Galaxy Z Fold 2;0,14
Galaxy S8;iPhone 12 Pro Max 256Go;0,14
Galaxy S8;Xperia 5 II;0,14
Galaxy S8;Galaxy S20 Ultra 5G;0,14
Galaxy S8;A72;0,14
Galaxy S8;TREKKER-X4;0,14
Galaxy S8;iPhone XR 64Go;0,14
Galaxy S8;Galaxy S20+ 5G;0,14
iPhone X 64Go;iPhone 12 64Go;54,04
iPhone X 64Go;iPhone 12 Pro Max 128Go;15,32
iPhone X 64Go;iPhone 12 128Go;9,32
iPhone X 64Go;iPhone 11 64Go;8,07
iPhone X 64Go;iPhone 12 mini 64Go;3,11
iPhone X 64Go;iPhone 11 Pro 64Go;2,48
iPhone X 64Go;iPhone 11 128Go;1,45
iPhone X 64Go;iPhone 12 mini 128Go;1,45
iPhone X 64Go;iPhone 11 Pro Max 64Go;1,04
iPhone X 64Go;Galaxy Note20;0,41
iPhone X 64Go;Galaxy Note20 5G;0,41
iPhone X 64Go;Galaxy S20 FE;0,41
iPhone X 64Go;iPhone 12 Pro Max 256Go;0,21
iPhone X 64Go;Galaxy Note20 Ultra 5G;0,21
iPhone X 64Go;Mi 10T Lite;0,21
iPhone X 64Go;iPhone 12 Pro Max 512Go;0,21
iPhone X 64Go;iPhone 12 Pro 128Go;0,21
iPhone X 64Go;Galaxy S20+;0,21
iPhone X 64Go;MI 10T PRO;0,21
iPhone X 64Go;Mi 10T;0,21
iPhone X 64Go;Galaxy S20;0,21
iPhone X 64Go;Galaxy S20 FE 5G;0,21
iPhone X 64Go;Galaxy S20 5G;0,21
iPhone X 64Go;iPhone 11 Pro Max 256Go;0,21
iPhone 8 Plus 64Go;iPhone 12 64Go;42
iPhone 8 Plus 64Go;iPhone 11 64Go;18,1
iPhone 8 Plus 64Go;iPhone 12 Pro Max 128Go;14,85
iPhone 8 Plus 64Go;iPhone 12 128Go;7,42
iPhone 8 Plus 64Go;iPhone 11 Pro Max 64Go;3,25
iPhone 8 Plus 64Go;iPhone 11 Pro 64Go;2,55
iPhone 8 Plus 64Go;iPhone 11 128Go;2,32
iPhone 8 Plus 64Go;Galaxy Note20;1,16
iPhone 8 Plus 64Go;iPhone 12 mini 128Go;0,93
iPhone 8 Plus 64Go;iPhone 12 mini 64Go;0,93
iPhone 8 Plus 64Go;iPhone XR 64Go;0,93
iPhone 8 Plus 64Go;Galaxy Note20 5G;0,7
iPhone 8 Plus 64Go;Mi 10T;0,7
iPhone 8 Plus 64Go;iPhone 12 Pro Max 256Go;0,46
iPhone 8 Plus 64Go;Mi 10;0,46
iPhone 8 Plus 64Go;Galaxy S20 FE;0,46
iPhone 8 Plus 64Go;MI 10T PRO;0,46
iPhone 8 Plus 64Go;iPhone 12 Pro 128Go;0,46
iPhone 8 Plus 64Go;Galaxy Z Fold 2;0,46
iPhone 8 Plus 64Go;Galaxy S20+;0,23
iPhone 8 Plus 64Go;Galaxy S20 5G;0,23
iPhone 8 Plus 64Go;iPhone SE 2020 64Go;0,23
iPhone 8 Plus 64Go;iPhone 11 Pro 256Go;0,23
iPhone 8 Plus 64Go;FIND X2 NEO;0,23
iPhone 8 Plus 64Go;iPhone 11 Pro Max 256Go;0,23
Galaxy S9+;Galaxy S20 FE;27,18
Galaxy S9+;Galaxy S20+;12,82
Galaxy S9+;Galaxy Note20;8,46
Galaxy S9+;Galaxy S20;7,18
Galaxy S9+;Galaxy S20 FE 5G;5,38
Galaxy S9+;iPhone 12 64Go;4,87
Galaxy S9+;Galaxy Note20 5G;4,62
Galaxy S9+;Galaxy Note20 Ultra 5G;3,85
Galaxy S9+;Galaxy S20 5G;3,85
Galaxy S9+;iPhone 11 64Go;3,08
Galaxy S9+;Mi 10;2,82
Galaxy S9+;iPhone 12 Pro Max 128Go;2,31
Galaxy S9+;MI 10T PRO;1,54
Galaxy S9+;iPhone 12 128Go;1,54
Galaxy S9+;Galaxy S20+ 5G;1,54
Galaxy S9+;Galaxy S20 Ultra 5G;1,28
Galaxy S9+;Mi 10T;1,28
Galaxy S9+;iPhone 11 Pro 64Go;1,03
Galaxy S9+;P30 Pro 128Go;0,77
Galaxy S9+;Galaxy S10 128Go;0,77
Galaxy S9+;Galaxy S10+ 128Go;0,51
Galaxy S9+;iPhone 11 Pro Max 64Go;0,51
Galaxy S9+;iPhone 11 128Go;0,51
Galaxy S9+;FIND X2 NEO;0,51
Galaxy S9+;P40 PRO;0,51
