group,variable,value
1- Galaxy S9,FIND X2 NEO,0.11
1- Galaxy S9,Galaxy A41,0.00
1- Galaxy S9,Galaxy Note 10 Lite,0.00
1- Galaxy S9,Galaxy Note20,0.75
1- Galaxy S9,Galaxy Note20 5G,0.64
1- Galaxy S9,Galaxy Note20 Ultra 5G,0.21
1- Galaxy S9,Galaxy S10 128Go,0.32
1- Galaxy S9,Galaxy S20,0.32
1- Galaxy S9,Galaxy S20 5G,0.75
1- Galaxy S9,Galaxy S20 FE,9.41
1- Galaxy S9,Galaxy S20 FE 5G,0.86
1- Galaxy S9,Galaxy S20 Ultra 5G,0.11
1- Galaxy S9,Galaxy S20+,0.32
1- Galaxy S9,Galaxy S20+ 5G,0.11
1- Galaxy S9,Galaxy S8,0.00
1- Galaxy S9,Galaxy Z Fold 2,0.00
1- Galaxy S9,iPhone 11 128Go,0.00
1- Galaxy S9,iPhone 11 64Go,0.21
1- Galaxy S9,iPhone 11 Pro 64Go,0.00
1- Galaxy S9,iPhone 11 Pro Max 256Go,0.00
1- Galaxy S9,iPhone 11 Pro Max 64Go,0.21
1- Galaxy S9,iPhone 12 128Go,0.00
1- Galaxy S9,iPhone 12 64Go,0.64
1- Galaxy S9,iPhone 12 mini 128Go,0.21
1- Galaxy S9,iPhone 12 mini 64Go,0.11
1- Galaxy S9,iPhone 12 Pro 128Go,0.00
1- Galaxy S9,iPhone 12 Pro 256Go,0.00
1- Galaxy S9,iPhone 12 Pro Max 128Go,0.00
1- Galaxy S9,iPhone 8 64Go,0.00
1- Galaxy S9,iPhone SE 2020 64Go,0.32
1- Galaxy S9,iPhone XR 128Go,0.11
1- Galaxy S9,iPhone XR 64Go,0.00
1- Galaxy S9,Mi 10,0.00
1- Galaxy S9,MI 10 LITE,0.00
1- Galaxy S9,Mi 10T,0.00
1- Galaxy S9,Mi 10T Lite,0.00
1- Galaxy S9,MI 10T PRO,0.21
1- Galaxy S9,P30,0.00
1- Galaxy S9,P30 Pro 128Go,0.43
1- Galaxy S9,P40 lite 5G,0.11
1- Galaxy S9,P40 PRO,0.00
1- Galaxy S9,Redmi Note 9,0.00
1- Galaxy S9,Redmi Note 9 Pro,0.00
2- iPhone XR 64Go,FIND X2 NEO,0.00
2- iPhone XR 64Go,Galaxy A41,0.00
2- iPhone XR 64Go,Galaxy Note 10 Lite,0.00
2- iPhone XR 64Go,Galaxy Note20,0.11
2- iPhone XR 64Go,Galaxy Note20 5G,0.00
2- iPhone XR 64Go,Galaxy Note20 Ultra 5G,0.00
2- iPhone XR 64Go,Galaxy S10 128Go,0.00
2- iPhone XR 64Go,Galaxy S20,0.00
2- iPhone XR 64Go,Galaxy S20 5G,0.00
2- iPhone XR 64Go,Galaxy S20 FE,0.11
2- iPhone XR 64Go,Galaxy S20 FE 5G,0.00
2- iPhone XR 64Go,Galaxy S20 Ultra 5G,0.11
2- iPhone XR 64Go,Galaxy S20+,0.00
2- iPhone XR 64Go,Galaxy S20+ 5G,0.00
2- iPhone XR 64Go,Galaxy S8,0.00
2- iPhone XR 64Go,Galaxy Z Fold 2,0.00
2- iPhone XR 64Go,iPhone 11 128Go,0.11
2- iPhone XR 64Go,iPhone 11 64Go,0.32
2- iPhone XR 64Go,iPhone 11 Pro 64Go,0.75
2- iPhone XR 64Go,iPhone 11 Pro Max 256Go,0.00
2- iPhone XR 64Go,iPhone 11 Pro Max 64Go,0.32
2- iPhone XR 64Go,iPhone 12 128Go,0.53
2- iPhone XR 64Go,iPhone 12 64Go,11.44
2- iPhone XR 64Go,iPhone 12 mini 128Go,0.11
2- iPhone XR 64Go,iPhone 12 mini 64Go,1.39
2- iPhone XR 64Go,iPhone 12 Pro 128Go,0.00
2- iPhone XR 64Go,iPhone 12 Pro 256Go,0.00
2- iPhone XR 64Go,iPhone 12 Pro Max 128Go,0.32
2- iPhone XR 64Go,iPhone 8 64Go,0.00
2- iPhone XR 64Go,iPhone SE 2020 64Go,0.11
2- iPhone XR 64Go,iPhone XR 128Go,0.00
2- iPhone XR 64Go,iPhone XR 64Go,0.00
2- iPhone XR 64Go,Mi 10,0.00
2- iPhone XR 64Go,MI 10 LITE,0.00
2- iPhone XR 64Go,Mi 10T,0.11
2- iPhone XR 64Go,Mi 10T Lite,0.00
2- iPhone XR 64Go,MI 10T PRO,0.00
2- iPhone XR 64Go,P30,0.00
2- iPhone XR 64Go,P30 Pro 128Go,0.00
2- iPhone XR 64Go,P40 lite 5G,0.00
2- iPhone XR 64Go,P40 PRO,0.00
2- iPhone XR 64Go,Redmi Note 9,0.00
2- iPhone XR 64Go,Redmi Note 9 Pro,0.00
3- iPhone 7 32Go,FIND X2 NEO,0.00
3- iPhone 7 32Go,Galaxy A41,0.21
3- iPhone 7 32Go,Galaxy Note 10 Lite,0.00
3- iPhone 7 32Go,Galaxy Note20,0.00
3- iPhone 7 32Go,Galaxy Note20 5G,0.11
3- iPhone 7 32Go,Galaxy Note20 Ultra 5G,0.11
3- iPhone 7 32Go,Galaxy S10 128Go,0.00
3- iPhone 7 32Go,Galaxy S20,0.00
3- iPhone 7 32Go,Galaxy S20 5G,0.21
3- iPhone 7 32Go,Galaxy S20 FE,0.43
3- iPhone 7 32Go,Galaxy S20 FE 5G,0.11
3- iPhone 7 32Go,Galaxy S20 Ultra 5G,0.00
3- iPhone 7 32Go,Galaxy S20+,0.11
3- iPhone 7 32Go,Galaxy S20+ 5G,0.00
3- iPhone 7 32Go,Galaxy S8,0.00
3- iPhone 7 32Go,Galaxy Z Fold 2,0.00
3- iPhone 7 32Go,iPhone 11 128Go,0.32
3- iPhone 7 32Go,iPhone 11 64Go,0.96
3- iPhone 7 32Go,iPhone 11 Pro 64Go,0.53
3- iPhone 7 32Go,iPhone 11 Pro Max 256Go,0.11
3- iPhone 7 32Go,iPhone 11 Pro Max 64Go,0.00
3- iPhone 7 32Go,iPhone 12 128Go,0.32
3- iPhone 7 32Go,iPhone 12 64Go,5.45
3- iPhone 7 32Go,iPhone 12 mini 128Go,0.00
3- iPhone 7 32Go,iPhone 12 mini 64Go,2.25
3- iPhone 7 32Go,iPhone 12 Pro 128Go,0.00
3- iPhone 7 32Go,iPhone 12 Pro 256Go,0.00
3- iPhone 7 32Go,iPhone 12 Pro Max 128Go,0.21
3- iPhone 7 32Go,iPhone 8 64Go,0.11
3- iPhone 7 32Go,iPhone SE 2020 64Go,1.18
3- iPhone 7 32Go,iPhone XR 128Go,0.00
3- iPhone 7 32Go,iPhone XR 64Go,0.11
3- iPhone 7 32Go,Mi 10,0.11
3- iPhone 7 32Go,MI 10 LITE,0.11
3- iPhone 7 32Go,Mi 10T,0.21
3- iPhone 7 32Go,Mi 10T Lite,0.11
3- iPhone 7 32Go,MI 10T PRO,0.00
3- iPhone 7 32Go,P30,0.11
3- iPhone 7 32Go,P30 Pro 128Go,0.00
3- iPhone 7 32Go,P40 lite 5G,0.00
3- iPhone 7 32Go,P40 PRO,0.00
3- iPhone 7 32Go,Redmi Note 9,0.11
3- iPhone 7 32Go,Redmi Note 9 Pro,0.00
4- iPhone 8 64Go,FIND X2 NEO,0.11
4- iPhone 8 64Go,Galaxy A41,0.00
